timestamp;status_code;length;output_file
2022-08-04 18:26:53;200;334340;D:\my github\SocialData2022
2022-08-04 18:26:54;200;331332;D:\my github\SocialData2022
2022-08-04 18:26:55;200;332105;D:\my github\SocialData2022
2022-08-04 18:26:57;200;329675;D:\my github\SocialData2022
2022-08-04 18:26:58;200;332091;D:\my github\SocialData2022
2022-08-04 18:27:26;200;334340;D:\my github\SocialData2022
2022-08-04 18:27:27;200;331332;D:\my github\SocialData2022
2022-08-04 18:27:28;200;332105;D:\my github\SocialData2022
2022-08-04 18:27:29;200;329675;D:\my github\SocialData2022
2022-08-04 18:27:30;200;332191;D:\my github\SocialData2022
